raw_label,normalized_key,match_type,candidates,doc_label,heading,page_start,row
Sonstige Rückstellungen,sonstigerueckstellungen,unsupported_framework,,,Konzernbilanz zum 31. Dezember 2025,11,28
Finanzverbindlichkeiten gegenüber Dritten,finanzverbindlichkeitengegenueberdritten,unsupported_framework,,,Konzernbilanz zum 31. Dezember 2025,11,29
Sonstige Verbindlichkeiten,sonstigeverbindlichkeiten,unsupported_framework,,,Konzernbilanz zum 31. Dezember 2025,11,30
Langfristige Schulden,langfristigeschulden,unsupported_framework,,,Konzernbilanz zum 31. Dezember 2025,11,32
Rückstellungen für Steuern,rueckstellungenfuersteuern,unsupported_framework,,,Konzernbilanz zum 31. Dezember 2025,11,34
Verbindlichkeiten aus Lieferungen und Leistungen,verbindlichkeitenauslieferungenundleistungen,unsupported_framework,,,Konzernbilanz zum 31. Dezember 2025,11,36
Kurzfristige Schulden,kurzfristigeschulden,unsupported_framework,,,Konzernbilanz zum 31. Dezember 2025,11,38
Summe Schulden,summeschulden,unsupported_framework,,,Konzernbilanz zum 31. Dezember 2025,11,39
Umsatzerlöse,umsatzerloese,unsupported_framework,,,Konzern-Gesamtergebnisrechnung vom 1. Januar bis 31. Dezember 2025,13,2
Umsatzkosten,umsatzkosten,unsupported_framework,,,Konzern-Gesamtergebnisrechnung vom 1. Januar bis 31. Dezember 2025,13,3
Bruttoergebnis vom Umsatz,bruttoergebnisvomumsatz,unsupported_framework,,,Konzern-Gesamtergebnisrechnung vom 1. Januar bis 31. Dezember 2025,13,4
Vertriebskosten,vertriebskosten,unsupported_framework,,,Konzern-Gesamtergebnisrechnung vom 1. Januar bis 31. Dezember 2025,13,5
Forschungs- und Entwicklungskosten,forschungsundentwicklungskosten,unsupported_framework,,,Konzern-Gesamtergebnisrechnung vom 1. Januar bis 31. Dezember 2025,13,6
Allgemeine Verwaltungskosten,allgemeineverwaltungskosten,unsupported_framework,,,Konzern-Gesamtergebnisrechnung vom 1. Januar bis 31. Dezember 2025,13,7
"Sonstige Erträge und Aufwendungen (-), netto",sonstigeertraegeundaufwendungennetto,unsupported_framework,,,Konzern-Gesamtergebnisrechnung vom 1. Januar bis 31. Dezember 2025,13,8
Betriebsergebnis,betriebsergebnis,unsupported_framework,,,Konzern-Gesamtergebnisrechnung vom 1. Januar bis 31. Dezember 2025,13,9
Zinserträge und sonstige Finanzerträge,zinsertraegeundsonstigefinanzertraege,unsupported_framework,,,Konzern-Gesamtergebnisrechnung vom 1. Januar bis 31. Dezember 2025,13,10
Zinsaufwendungen und sonstige Finanzaufwendungen,zinsaufwendungenundsonstigefinanzaufwendungen,unsupported_framework,,,Konzern-Gesamtergebnisrechnung vom 1. Januar bis 31. Dezember 2025,13,11
Finanzergebnis,finanzergebnis,unsupported_framework,,,Konzern-Gesamtergebnisrechnung vom 1. Januar bis 31. Dezember 2025,13,12
Ergebnis vor Ertragsteuern,ergebnisvorertragsteuern,unsupported_framework,,,Konzern-Gesamtergebnisrechnung vom 1. Januar bis 31. Dezember 2025,13,13
Erträge / Aufwendungen (-) aus Ertragsteuern,ertraegeaufwendungenausertragsteuern,unsupported_framework,,,Konzern-Gesamtergebnisrechnung vom 1. Januar bis 31. Dezember 2025,13,14
Jahresfehlbetrag (-) / Jahresüberschuss,jahresfehlbetragjahresueberschuss,unsupported_framework,,,Konzern-Gesamtergebnisrechnung vom 1. Januar bis 31. Dezember 2025,13,15
Vom Jahresüberschuss entfallen auf:,vomjahresueberschussentfallenauf,unsupported_framework,,,Konzern-Gesamtergebnisrechnung vom 1. Januar bis 31. Dezember 2025,13,16
Gesellschafter des Mutterunternehmens,gesellschafterdesmutterunternehmens,unsupported_framework,,,Konzern-Gesamtergebnisrechnung vom 1. Januar bis 31. Dezember 2025,13,17
"Sonstiges Ergebnis, das zukünftig nicht in die Gewinn- und Verlustrechnung umgegliedert wird",sonstigesergebnisdaszukuenftignichtindiegewinnundverlustrechnungumgegliedertwird,unsupported_framework,,,Konzern-Gesamtergebnisrechnung vom 1. Januar bis 31. Dezember 2025,13,19
Ergebnis aus der Neubewertung der Pensionsrückstellungen,ergebnisausderneubewertungderpensionsrueckstellungen,unsupported_framework,,,Konzern-Gesamtergebnisrechnung vom 1. Januar bis 31. Dezember 2025,13,20
"Sonstiges Ergebnis, das unter bestimmten",sonstigesergebnisdasunterbestimmten,unsupported_framework,,,Konzern-Gesamtergebnisrechnung vom 1. Januar bis 31. Dezember 2025,13,22
Bedingungen zukünftig in die Gewinn- und Verlustrechnung umgegliedert wird,bedingungenzukuenftigindiegewinnundverlustrechnungumgegliedertwird,unsupported_framework,,,Konzern-Gesamtergebnisrechnung vom 1. Januar bis 31. Dezember 2025,13,23
Ergebnis aus Cashflow-Hedges,ergebnisauscashflowhedges,unsupported_framework,,,Konzern-Gesamtergebnisrechnung vom 1. Januar bis 31. Dezember 2025,13,24
Unterschiedsbetrag aus der Währungsumrechnung,unterschiedsbetragausderwaehrungsumrechnung,unsupported_framework,,,Konzern-Gesamtergebnisrechnung vom 1. Januar bis 31. Dezember 2025,13,26
Sonstiges Ergebnis nach Ertragsteuern,sonstigesergebnisnachertragsteuern,unsupported_framework,,,Konzern-Gesamtergebnisrechnung vom 1. Januar bis 31. Dezember 2025,13,27
Gesamtergebnis,gesamtergebnis,unsupported_framework,,,Konzern-Gesamtergebnisrechnung vom 1. Januar bis 31. Dezember 2025,13,28
Vom Gesamtergebnis entfallen auf:,vomgesamtergebnisentfallenauf,unsupported_framework,,,Konzern-Gesamtergebnisrechnung vom 1. Januar bis 31. Dezember 2025,13,29
